location,omega,pop,season,cadence,location_level,disease,log_pop
ks,16.984096731286403,2913314,2022-2024,Daily,state,Influenza,14.884801822785983
ky,21.587984550350924,4467673,2022-2024,Daily,state,Influenza,15.312378249384595
la,14.299688919998054,4648794,2022-2024,Daily,state,Influenza,15.352118389086547
ma,23.229183253715746,6892503,2022-2024,Daily,state,Influenza,15.745944857135706
md,18.874365776186874,6045680,2022-2024,Daily,state,Influenza,15.61485452536542
me,16.679245930011767,1344212,2022-2024,Daily,state,Influenza,14.111318525721124
mi,23.04992848327585,9986857,2022-2024,Daily,state,Influenza,16.11678048650856
mn,17.94268366205174,5639632,2022-2024,Daily,state,Influenza,15.545329373118532
mo,22.48087041783614,6137428,2022-2024,Daily,state,Influenza,15.629916319855207
ms,14.635537188783198,2976149,2022-2024,Daily,state,Influenza,14.9061407408861
mt,11.678078938473657,1068778,2022-2024,Daily,state,Influenza,13.882026497720332
nc,22.234647932981687,10488084,2022-2024,Daily,state,Influenza,16.16575031354692
nd,10.41071509297884,762062,2022-2024,Daily,state,Influenza,13.543783196188242
ne,11.987089622908186,1934408,2022-2024,Daily,state,Influenza,14.47531189448341
nh,13.632991976912589,1359711,2022-2024,Daily,state,Influenza,14.12278273513091
nj,23.82006953518139,8882190,2022-2024,Daily,state,Influenza,15.999558706183862
nm,16.773149654243813,2096829,2022-2024,Daily,state,Influenza,14.5559367614947
nv,17.84813329027244,3080156,2022-2024,Daily,state,Influenza,14.940490803017772
ny,25.795444826246307,19453561,2022-2024,Daily,state,Influenza,16.783540696103653
oh,22.694644478368087,11689100,2022-2024,Daily,state,Influenza,16.27416734160507
ok,26.03975512241109,3956971,2022-2024,Daily,state,Influenza,15.190989391556274
or,24.735957015974165,4217737,2022-2024,Daily,state,Influenza,15.254809286251392
pa,21.07734327349987,12801989,2022-2024,Daily,state,Influenza,16.365111107442974
ri,9.817603353070181,1059361,2022-2024,Daily,state,Influenza,13.873176454124396
sc,19.96060502561081,5148714,2022-2024,Daily,state,Influenza,15.454257532719637
sd,12.256508934626853,884659,2022-2024,Daily,state,Influenza,13.692957539004349
tn,19.056944777266306,6829174,2022-2024,Daily,state,Influenza,15.73671428719104
tx,27.13796446875817,28995881,2022-2024,Daily,state,Influenza,17.182664343380136
us,35.02928600577856,328239523,2022-2024,Daily,state,Influenza,19.609254152892177
ut,12.81509834886756,3205958,2022-2024,Daily,state,Influenza,14.980521511629142
va,20.492971972973272,8535519,2022-2024,Daily,state,Influenza,15.959746720797773
vt,11.053688140118101,623989,2022-2024,Daily,state,Influenza,13.343888018991057
wa,21.194769034172587,7614893,2022-2024,Daily,state,Influenza,15.845616492997973
wi,17.968081924106382,5822434,2022-2024,Daily,state,Influenza,15.577228945339334
wv,16.099201326663813,1792147,2022-2024,Daily,state,Influenza,14.398924900402633
wy,11.267693198997753,578759,2022-2024,Daily,state,Influenza,13.268641435017608
ak,11.211266289672928,731545,2022-2023,Daily,state,Influenza,13.502914014980135
al,19.951969451625406,4903185,2022-2023,Daily,state,Influenza,15.405395551922352
ar,18.023459258186637,3017804,2022-2023,Daily,state,Influenza,14.920039972529695
az,27.054612217430762,7278717,2022-2023,Daily,state,Influenza,15.800465168377697
ca,31.247493784085556,39512223,2022-2023,Daily,state,Influenza,17.492120625041704
