geo_value,time_value,value
oh,2022-12-17,6.38
ok,2022-12-17,6.78
or,2022-12-17,8.66
pa,2022-12-17,5.23
ri,2022-12-17,5.67
sc,2022-12-17,2.4
sd,2022-12-17,5.48
tn,2022-12-17,3.79
tx,2022-12-17,4.49
ut,2022-12-17,6.53
va,2022-12-17,3.63
vt,2022-12-17,9.54
wa,2022-12-17,7.5
wi,2022-12-17,6.62
wv,2022-12-17,6.3
wy,2022-12-17,5.54
ak,2022-12-24,5.6
al,2022-12-24,1.8
ar,2022-12-24,2.78
az,2022-12-24,4.94
ca,2022-12-24,3.92
co,2022-12-24,5.73
ct,2022-12-24,5.02
dc,2022-12-24,1.99
de,2022-12-24,5.38
fl,2022-12-24,3.96
ga,2022-12-24,1.18
hi,2022-12-24,4.06
ia,2022-12-24,7.71
id,2022-12-24,8.36
il,2022-12-24,4.94
in,2022-12-24,8.09
ks,2022-12-24,6.22
ky,2022-12-24,3.53
la,2022-12-24,2.65
ma,2022-12-24,7.41
md,2022-12-24,2.91
me,2022-12-24,9.68
mi,2022-12-24,9.17
mn,2022-12-24,4.2
ms,2022-12-24,2.27
mt,2022-12-24,6.45
nc,2022-12-24,3.42
nd,2022-12-24,6.57
ne,2022-12-24,6.2
nh,2022-12-24,7.24
nj,2022-12-24,4.01
nm,2022-12-24,11.29
nv,2022-12-24,4.91
ny,2022-12-24,4.19
oh,2022-12-24,5.65
ok,2022-12-24,5.78
or,2022-12-24,6.42
pa,2022-12-24,4.74
ri,2022-12-24,6.07
sc,2022-12-24,2.14
sd,2022-12-24,3.49
tn,2022-12-24,2.93
tx,2022-12-24,3.68
ut,2022-12-24,7.5
va,2022-12-24,2.95
vt,2022-12-24,9.1
wa,2022-12-24,5.67
wi,2022-12-24,5.79
wv,2022-12-24,5.35
wy,2022-12-24,3.82
ak,2022-12-31,4.58
al,2022-12-31,1.79
ar,2022-12-31,2.63
az,2022-12-31,4.03
ca,2022-12-31,2.85
co,2022-12-31,4.25
ct,2022-12-31,3.46
dc,2022-12-31,1.55
de,2022-12-31,4.42
fl,2022-12-31,3.73
ga,2022-12-31,1.32
hi,2022-12-31,4.44
ia,2022-12-31,5.84
id,2022-12-31,6.24
il,2022-12-31,3.35
in,2022-12-31,5.75
ks,2022-12-31,4.44
ky,2022-12-31,2.44
la,2022-12-31,2.64
ma,2022-12-31,6.02
md,2022-12-31,2.2
me,2022-12-31,7.31
mi,2022-12-31,7.37
mn,2022-12-31,2.97
ms,2022-12-31,2.3
mt,2022-12-31,5.34
nc,2022-12-31,3.46
nd,2022-12-31,7.24
ne,2022-12-31,4.01
nh,2022-12-31,6.25
nj,2022-12-31,3.11
nm,2022-12-31,7.83
nv,2022-12-31,3.09
ny,2022-12-31,3.34
oh,2022-12-31,4
ok,2022-12-31,4.74
or,2022-12-31,4.16
pa,2022-12-31,3.93
ri,2022-12-31,4.87
sc,2022-12-31,2.21
sd,2022-12-31,2.65
tn,2022-12-31,2.31
tx,2022-12-31,3.1
ut,2022-12-31,6.31
va,2022-12-31,2.33
vt,2022-12-31,7.18
wa,2022-12-31,3.74
wi,2022-12-31,4.51
wv,2022-12-31,4.16
wy,2022-12-31,4.02
ak,2023-01-07,2.63
al,2023-01-07,1.17
ar,2023-01-07,1.45
az,2023-01-07,1.87
ca,2023-01-07,1.32
co,2023-01-07,2.4
ct,2023-01-07,1.87
dc,2023-01-07,1.03
de,2023-01-07,2.29
fl,2023-01-07,2.71
ga,2023-01-07,1.17
hi,2023-01-07,3.38
ia,2023-01-07,2.88
id,2023-01-07,2.84
il,2023-01-07,1.7
in,2023-01-07,2.73
ks,2023-01-07,2.27
ky,2023-01-07,1.08
la,2023-01-07,1.56
ma,2023-01-07,3.09
md,2023-01-07,1.24
me,2023-01-07,4.09
mi,2023-01-07,3.43
mn,2023-01-07,1.5
ms,2023-01-07,1.44
mt,2023-01-07,2.7
nc,2023-01-07,2.24
nd,2023-01-07,4.41
ne,2023-01-07,2.07
nh,2023-01-07,3.11
nj,2023-01-07,1.7
nm,2023-01-07,3.79
nv,2023-01-07,1.54
ny,2023-01-07,1.71
oh,2023-01-07,1.75
ok,2023-01-07,2.38
or,2023-01-07,1.63
pa,2023-01-07,1.95
ri,2023-01-07,2.32
sc,2023-01-07,1.74
sd,2023-01-07,1.6
tn,2023-01-07,1.32
tx,2023-01-07,1.8
ut,2023-01-07,3.45
va,2023-01-07,1.43
vt,2023-01-07,3.16
wa,2023-01-07,1.79
wi,2023-01-07,2.43
wv,2023-01-07,2.12
wy,2023-01-07,2.28
ak,2023-01-14,1.54
al,2023-01-14,0.71
ar,2023-01-14,0.81
az,2023-01-14,0.82
ca,2023-01-14,0.56
co,2023-01-14,1.15
ct,2023-01-14,0.71
dc,2023-01-14,0.53
de,2023-01-14,0.91
fl,2023-01-14,1.79
ga,2023-01-14,0.79
hi,2023-01-14,2.33
ia,2023-01-14,1.5
id,2023-01-14,1.26
il,2023-01-14,0.81
in,2023-01-14,1.02
ks,2023-01-14,1.04
ky,2023-01-14,0.53
la,2023-01-14,0.91
ma,2023-01-14,1.36
md,2023-01-14,0.63
me,2023-01-14,1.79
mi,2023-01-14,1.52
mn,2023-01-14,0.78
ms,2023-01-14,1.04
mt,2023-01-14,1.33
nc,2023-01-14,1.24
nd,2023-01-14,2.86
ne,2023-01-14,1.11
nh,2023-01-14,1.7
nj,2023-01-14,0.8
nm,2023-01-14,1.44
nv,2023-01-14,0.77
ny,2023-01-14,0.76
oh,2023-01-14,0.8
ok,2023-01-14,1.33
or,2023-01-14,0.69
pa,2023-01-14,0.79
ri,2023-01-14,0.96
sc,2023-01-14,0.99
sd,2023-01-14,0.96
tn,2023-01-14,0.79
tx,2023-01-14,1.16
ut,2023-01-14,1.41
va,2023-01-14,0.76
vt,2023-01-14,1.34
wa,2023-01-14,0.81
wi,2023-01-14,1.15
wv,2023-01-14,0.93
wy,2023-01-14,1.82
ak,2023-01-21,0.85
al,2023-01-21,0.66
ar,2023-01-21,0.69
az,2023-01-21,0.58
ca,2023-01-21,0.3
co,2023-01-21,0.64
ct,2023-01-21,0.45
dc,2023-01-21,0.39
de,2023-01-21,0.62
fl,2023-01-21,1.56
ga,2023-01-21,0.64
hi,2023-01-21,1.93
ia,2023-01-21,0.9
id,2023-01-21,0.65
il,2023-01-21,0.46
in,2023-01-21,0.62
ks,2023-01-21,0.76
ky,2023-01-21,0.4
la,2023-01-21,0.78
ma,2023-01-21,0.8
md,2023-01-21,0.45
me,2023-01-21,0.94
mi,2023-01-21,0.91
mn,2023-01-21,0.6
ms,2023-01-21,0.94
mt,2023-01-21,0.91
nc,2023-01-21,0.97
nd,2023-01-21,2.26
ne,2023-01-21,0.61
nh,2023-01-21,1.06
nj,2023-01-21,0.54
nm,2023-01-21,0.86
nv,2023-01-21,0.45
ny,2023-01-21,0.48
oh,2023-01-21,0.52
ok,2023-01-21,0.65
or,2023-01-21,0.26
pa,2023-01-21,0.46
ri,2023-01-21,0.6
sc,2023-01-21,0.87
sd,2023-01-21,0.96
tn,2023-01-21,0.55
tx,2023-01-21,0.83
ut,2023-01-21,0.76
va,2023-01-21,0.67
vt,2023-01-21,0.97
wa,2023-01-21,0.42
wi,2023-01-21,0.68
wv,2023-01-21,0.51
wy,2023-01-21,1.22
ak,2023-01-28,0.64
al,2023-01-28,0.56
ar,2023-01-28,0.7
az,2023-01-28,0.5
ca,2023-01-28,0.24
