geo_value,time_value,weekly_hosp,weekly_admits_p100K
ca,2022-02-19,18,0.04555552341360292
co,2022-02-19,22,0.38202827842776604
ct,2022-02-19,1,0.028048232863160806
dc,2022-02-19,1,0.14169343491807992
de,2022-02-19,3,0.3080828619665545
fl,2022-02-19,74,0.344542816591897
ga,2022-02-19,45,0.4238316585860807
hi,2022-02-19,0,0
ia,2022-02-19,44,1.3945807858462729
id,2022-02-19,1,0.0559576736156771
il,2022-02-19,26,0.20517966596908213
in,2022-02-19,61,0.9060905475594302
ks,2022-02-19,25,0.8581292644733799
ky,2022-02-19,20,0.447660336824114
la,2022-02-19,40,0.8604382125772835
ma,2022-02-19,54,0.7834599419107979
md,2022-02-19,14,0.23157031136282438
me,2022-02-19,4,0.2975721091613525
mi,2022-02-19,52,0.5206843354220452
mn,2022-02-19,28,0.49648629555971024
mo,2022-02-19,60,0.9776082098233984
ms,2022-02-19,27,0.9072126429153917
mt,2022-02-19,9,0.8420832015629064
nc,2022-02-19,32,0.3051081589354166
nd,2022-02-19,5,0.6561145943505909
ne,2022-02-19,34,1.7576436822014798
nh,2022-02-19,7,0.5148152806000688
nj,2022-02-19,32,0.36027150961643467
nm,2022-02-19,8,0.3815284889707268
nv,2022-02-19,8,0.2597271047310591
ny,2022-02-19,30,0.1542134111076116
oh,2022-02-19,41,0.350754121360926
ok,2022-02-19,78,1.9712047422131727
or,2022-02-19,6,0.14225638061358495
pa,2022-02-19,96,0.7498834751381211
ri,2022-02-19,1,0.094396527718124415
sc,2022-02-19,21,0.40786883870418905
sd,2022-02-19,14,1.5825306700095743
tn,2022-02-19,29,0.4246487203284028
tx,2022-02-19,284,0.979449460425086
us,2022-02-19,1573,0.47922321651679956
ut,2022-02-19,6,0.18715154721303273
va,2022-02-19,37,0.43348272085153816
vt,2022-02-19,0,0
wa,2022-02-19,5,0.06566080442627362
wi,2022-02-19,29,0.498073486105639
wv,2022-02-19,12,0.6695879300079737
wy,2022-02-19,2,0.3455669803838904
ak,2022-02-20,0,0
al,2022-02-20,19,0.3875032249446024
ar,2022-02-20,35,1.159783736783436
az,2022-02-20,69,0.9479692643634862
ca,2022-02-20,16,0.04049379858986927
co,2022-02-20,29,0.5035827306547827
ct,2022-02-20,1,0.028048232863160806
dc,2022-02-20,1,0.14169343491807992
de,2022-02-20,3,0.3080828619665545
fl,2022-02-20,73,0.3398868325838984
ga,2022-02-20,44,0.41441317728416777
hi,2022-02-20,0,0
ia,2022-02-20,43,1.3628857679861304
id,2022-02-20,1,0.0559576736156771
il,2022-02-20,28,0.22096271719747304
in,2022-02-20,59,0.876382660754203
ks,2022-02-20,28,0.9611047762101853
ky,2022-02-20,22,0.49242637050652543
la,2022-02-20,42,0.9034601232061477
ma,2022-02-20,60,0.8705110465675533
md,2022-02-20,14,0.23157031136282438
me,2022-02-20,4,0.2975721091613525
mi,2022-02-20,57,0.5707501369049341
mn,2022-02-20,23,0.40782802849547634
mo,2022-02-20,65,1.0590755606420148
ms,2022-02-20,27,0.9072126429153917
mt,2022-02-20,9,0.8420832015629064
nc,2022-02-20,33,0.31464278890214836
nd,2022-02-20,3,0.39366875661035455
ne,2022-02-20,35,1.8093390846191701
nh,2022-02-20,7,0.5148152806000688
nj,2022-02-20,32,0.36027150961643467
nm,2022-02-20,8,0.3815284889707268
nv,2022-02-20,10,0.32465888091382383
ny,2022-02-20,26,0.13365162295993005
oh,2022-02-20,44,0.376419057070262
ok,2022-02-20,81,2.0470203092213715
or,2022-02-20,5,0.11854698384465413
pa,2022-02-20,102,0.7967511923342536
ri,2022-02-20,0,0
sc,2022-02-20,23,0.4467134900093499
sd,2022-02-20,13,1.4694927650088905
tn,2022-02-20,37,0.5417931949017553
tx,2022-02-20,306,1.0553223059509729
us,2022-02-20,1637,0.49872117319644044
ut,2022-02-20,7,0.2183434717485382
va,2022-02-20,32,0.37490397479051946
vt,2022-02-20,0,0
wa,2022-02-20,7,0.09192512619678307
wi,2022-02-20,29,0.498073486105639
wv,2022-02-20,14,0.7811859183426361
wy,2022-02-20,2,0.3455669803838904
ak,2022-02-21,0,0
al,2022-02-21,18,0.3671083183685706
ar,2022-02-21,38,1.2591937713648733
az,2022-02-21,69,0.9479692643634862
ca,2022-02-21,18,0.04555552341360292
co,2022-02-21,31,0.5383125741482159
ct,2022-02-21,3,0.08414469858948243
dc,2022-02-21,1,0.14169343491807992
de,2022-02-21,3,0.3080828619665545
fl,2022-02-21,77,0.3585107686158928
ga,2022-02-21,45,0.4238316585860807
hi,2022-02-21,0,0
ia,2022-02-21,48,1.5213608572868431
id,2022-02-21,1,0.0559576736156771
il,2022-02-21,33,0.26042034526845037
in,2022-02-21,52,0.7724050569359077
