geo_value,time_value,weekly_hosp,weekly_admits_p100K
ms,2020-11-22,850,28.560398017706778
mt,2020-11-22,599,56.04531530402011
nc,2020-11-22,1510,14.39729124976497
nd,2020-11-22,403,52.88283630465763
ne,2020-11-22,899,46.47416677350383
nh,2020-11-22,92,6.7661436878866175
nj,2020-11-22,2333,26.266044747973194
nm,2020-11-22,857,40.8712393809891
nv,2020-11-22,939,30.485468917808063
ny,2020-11-22,3275,16.83496404591427
oh,2020-11-22,4513,38.6086182854112
ok,2020-11-22,2347,59.313045256080976
or,2020-11-22,364,8.630220423890822
pa,2020-11-22,3528,27.558217711325952
ri,2020-11-22,178,16.802581933826147
sc,2020-11-22,594,11.536861437632776
sd,2020-11-22,488,55.16249764033373
tn,2020-11-22,1867,27.338591753556138
tx,2020-11-22,8390,28.9351442710087
us,2020-11-22,83419,25.414063254046344
ut,2020-11-22,657,20.493094419827084
va,2020-11-22,985,11.540012974020678
vt,2020-11-22,26,4.166740118816197
wa,2020-11-22,644,8.457111610104041
wi,2020-11-22,3197,54.90830810619751
wv,2020-11-22,399,22.263798672765127
wy,2020-11-22,265,45.787624900865474
ak,2020-11-23,139,19.000881695589474
al,2020-11-23,1399,28.53247429986835
ar,2020-11-23,960,31.811211066059958
az,2020-11-23,1819,24.990667998220015
ca,2020-11-23,5706,14.441100922112126
co,2020-11-23,1917,33.2885549884558
ct,2020-11-23,733,20.55935468869687
dc,2020-11-23,129,18.278453104432312
de,2020-11-23,187,19.203831729248563
fl,2020-11-23,3818,17.776546942538687
ga,2020-11-23,2716,25.580595215995444
hi,2020-11-23,47,3.3195091081679697
ia,2020-11-23,1357,43.01013923621346
id,2020-11-23,415,23.222434550505998
il,2020-11-23,4481,35.36192627720988
in,2020-11-23,2521,37.44679131798892
ks,2020-11-23,1249,42.872138053090055
ky,2020-11-23,2571,57.54673629873986
la,2020-11-23,1102,23.70507275650416
ma,2020-11-23,889,12.898072006642579
md,2020-11-23,1343,22.214209154305223
me,2020-11-23,106,7.885660892775841
mi,2020-11-23,3428,34.32511349666867
mn,2020-11-23,1669,29.5941295460413
mo,2020-11-23,2296,37.409807495908716
ms,2020-11-23,872,29.299608319341537
mt,2020-11-23,590,55.2032321024572
nc,2020-11-23,1541,14.692864778733657
nd,2020-11-23,391,51.30816127821621
ne,2020-11-23,856,44.25126446954314
nh,2020-11-23,92,6.7661436878866175
nj,2020-11-23,2373,26.71638413499374
nm,2020-11-23,878,41.87275166453726
nv,2020-11-23,965,31.329582008184
ny,2020-11-23,3475,17.863053453298345
oh,2020-11-23,4612,39.45556116381928
ok,2020-11-23,2426,61.30952185396355
or,2020-11-23,384,9.104408359269437
pa,2020-11-23,3630,28.354968903660204
ri,2020-11-23,185,17.463357627853018
sc,2020-11-23,604,11.73108469415858
sd,2020-11-23,470,53.12781535032142
tn,2020-11-23,1887,27.631452939989522
tx,2020-11-23,8287,28.579921403319318
us,2020-11-23,84716,25.809201532382193
ut,2020-11-23,643,20.05640747633001
va,2020-11-23,1011,11.844622453537974
vt,2020-11-23,29,4.647517824833451
wa,2020-11-23,692,9.087455332596269
wi,2020-11-23,3160,54.272835037717904
wv,2020-11-23,431,24.04936648611972
wy,2020-11-23,271,46.824325842017146
ak,2020-11-24,156,21.32473053605725
al,2020-11-24,1440,29.368665469485652
ar,2020-11-24,962,31.877484422447584
az,2020-11-24,1892,25.9935920025466
ca,2020-11-24,6005,15.19782878326031
co,2020-11-24,1954,33.93105709308431
ct,2020-11-24,719,20.166679428612618
dc,2020-11-24,124,17.569985929841913
de,2020-11-24,198,20.3334688897926
fl,2020-11-24,3896,18.139713695162577
ga,2020-11-24,2685,25.288622295636145
hi,2020-11-24,39,2.7544862812457622
ia,2020-11-24,1314,41.64725346822733
id,2020-11-24,420,23.502222918584383
il,2020-11-24,4487,35.40927543089506
in,2020-11-24,2565,38.10036482770391
ks,2020-11-24,1242,42.63186185903751
ky,2020-11-24,2660,59.53882479760716
la,2020-11-24,1104,23.748094667133024
ma,2020-11-24,863,12.520850553129973
md,2020-11-24,1365,22.578105357875376
me,2020-11-24,101,7.513695756324152
mi,2020-11-24,3502,35.06608735861543
mn,2020-11-24,1674,29.682787813105534
mo,2020-11-24,2273,37.03505768214307
ms,2020-11-24,906,30.442024240049808
mt,2020-11-24,601,56.23244490436742
nc,2020-11-24,1532,14.60705310903307
nd,2020-11-24,377,49.471040414034555
ne,2020-11-24,840,43.424138030860085
nh,2020-11-24,109,8.016409369343927
nj,2020-11-24,2424,27.290566853444925
nm,2020-11-24,875,41.72967848117324
nv,2020-11-24,989,32.10876332237718
ny,2020-11-24,3601,18.510749779950313
oh,2020-11-24,4697,40.18273434225048
ok,2020-11-24,2449,61.89077453435974
or,2020-11-24,384,9.104408359269437
pa,2020-11-24,3740,29.214210385589304
ri,2020-11-24,175,16.519392350671776
sc,2020-11-24,617,11.983574927642126
sd,2020-11-24,472,53.35389116032279
tn,2020-11-24,1920,28.1146738976046
tx,2020-11-24,8287,28.579921403319318
us,2020-11-24,85845,26.153157674433984
ut,2020-11-24,668,20.836205589717643
va,2020-11-24,1045,12.2429579267529
vt,2020-11-24,29,4.647517824833451
wa,2020-11-24,700,9.192512619678308
wi,2020-11-24,3067,52.67556489262051
wv,2020-11-24,466,26.00233128197631
wy,2020-11-24,257,44.40535697932991
ak,2020-11-25,174,23.785276367140778
al,2020-11-25,1443,29.429850189213745
ar,2020-11-25,949,31.446707605928022
az,2020-11-25,1943,26.694264937076138
ca,2020-11-25,6343,16.053260278471296
co,2020-11-25,1942,33.72267803212372
ct,2020-11-25,732,20.53130645583371
dc,2020-11-25,127,17.995066234596152
de,2020-11-25,217,22.284660348914112
fl,2020-11-25,3951,18.395792815602498
ga,2020-11-25,2645,24.911883043559627
hi,2020-11-25,40,2.825114134611038
ia,2020-11-25,1274,40.379452753821624
id,2020-11-25,422,23.614138265815736
il,2020-11-25,4436,35.00680762457108
in,2020-11-25,2618,38.887623828042436
ks,2020-11-25,1274,43.73026731756344
ky,2020-11-25,2717,60.81465675755589
la,2020-11-25,1115,23.984715175591777
ma,2020-11-25,866,12.564376105458352
md,2020-11-25,1388,22.958542297971444
me,2020-11-25,99,7.364909701743475
mi,2020-11-25,3604,36.08742970886637
mn,2020-11-25,1624,28.796205142463197
mo,2020-11-25,2248,36.62772092804999
ms,2020-11-25,908,30.509225176562058
mt,2020-11-25,577,53.98688970019966
nc,2020-11-25,1541,14.692864778733657
nd,2020-11-25,346,45.40312992906089
ne,2020-11-25,812,41.97666676316475
nh,2020-11-25,114,8.384134569772547
nj,2020-11-25,2439,27.45944412357763
nm,2020-11-25,864,41.20507680883849
nv,2020-11-25,990,32.141229210468566
ny,2020-11-25,3697,19.00423269549467
oh,2020-11-25,4656,39.83198022088955
ok,2020-11-25,2451,61.94131824569854
or,2020-11-25,401,9.507468104341262
pa,2020-11-25,3880,30.30779045349906
